productId,comment,rating
1,"Excellent product, very satisfied!",5
2,"Great phone, but delivery was slow.",4
3,"Shoes are very comfortable!",5
5,"Amazing sound quality!",5
6,"Laptop works great, battery could be better.",4
7,"Camera is fantastic, very happy!",5
8,"Shirt is good, size is slightly small.",4
10,"Very comfortable office chair.",5
11,"Luxury watch, worth the price.",5
12,"Printer is good but a bit noisy.",4
13,"Blender is excellent, works perfectly.",5
14,"Phone is good but battery drains fast.",4
15,"PS5 is awesome, totally satisfied.",5
16,"MacBook Air is super fast!",5
17,"Handbag is stylish and original.",5
18,"Keyboard looks cool, keys are a bit noisy.",4
20,"Bike quality is superb, smooth ride.",5
